tag,optimizer,snr_avg_db,sll_max_db,retune_cost
ga_bits2,GA,116.728179,-6.235716,1.421000
ga_bits3,GA,118.306082,-6.560492,1.349946
ga_bits4,GA,117.668514,-5.809418,1.369902
beta0,GA,117.251150,-5.210506,1.386551
beta05,GA,119.116970,-7.492792,1.399004
beta1,GA,117.722664,-6.751042,1.376703
beta2,GA,117.466688,-5.776491,1.340191
robust_clean,GA,117.980308,-5.401024,1.471821
robust_noisy,GA,117.345076,-7.107858,1.416186
cmp_ga,GA,117.899038,-8.623123,1.388842
cmp_de,DE,116.848593,-6.884090,1.433575
cmp_pso,PSO,116.809308,-9.205257,1.465816
